証券コード,企業名
231A,Ｃｒｏｓｓ　Ｅホールディングス株式会社
2321,株式会社ソフトフロントホールディングス
2323,株式会社ｆｏｎｆｕｎ
2325,株式会社ＮＪＳ
2326,デジタルアーツ株式会社
2327,日鉄ソリューションズ株式会社
2329,株式会社東北新社
2330,株式会社フォーサイド
2331,ＡＬＳＯＫ株式会社
2332,株式会社クエスト
2334,株式会社イオレ
2335,株式会社キューブシステム
2337,いちご株式会社
2338,クオンタムソリューションズ株式会社
2340,株式会社　極楽湯ホールディングス
2341,株式会社アルバイトタイムス
2342,株式会社トランスジェニックグループ
2345,株式会社ＨＯＤＬ１
2349,株式会社エヌアイデイ
2351,株式会社ＡＳＪ
2353,日本駐車場開発株式会社
2354,株式会社ＹＥ　ＤＩＧＩＴＡＬ
2359,株式会社コア
2370,株式会社メディネット
2371,株式会社カカクコム
2373,株式会社ケア２１
2375,ギグワークス株式会社
2376,株式会社　サイネックス
2378,株式会社ルネサンス
2379,ディップ株式会社
2384,ＳＢＳホールディングス株式会社
2385,株式会社総医研ホールディングス
2388,株式会社ウェッジホールディングス
2391,株式会社プラネット
2393,株式会社日本ケアサプライ
2395,株式会社新日本科学
2404,株式会社鉄人化ホールディングス
2408,株式会社ＫＧ情報
2410,株式会社キャリアデザインセンター
2411,ゲンダイエージェンシー株式会社
2413,エムスリー株式会社
2415,ヒューマンホールディングス株式会社
2418,株式会社ツカダ・グローバルホールディング
241A,株式会社ＲＯＸＸ
2424,株式会社ブラス
2425,株式会社ケアサービス
2428,ウェルネット株式会社
2429,株式会社ワールドホールディングス
242A,株式会社リプライオリティ
2432,株式会社ディー・エヌ・エー
2433,株式会社博報堂ＤＹホールディングス
2435,株式会社シダー
2436,共同ピーアール株式会社
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社
2438,株式会社アスカネット
2440,株式会社ぐるなび
2445,株式会社タカミヤ
2449,株式会社プラップジャパン
244A,グロースエクスパートナーズ株式会社
2454,株式会社オールアバウト
2459,アウンコンサルティング株式会社
245A,株式会社ＩＮＧＳ
2461,株式会社ファンコミュニケーションズ
2462,ライク株式会社
2464,株式会社ＡｏｂａーＢＢＴ
2467,株式会社ＶＬＣセキュリティ
2469,ヒビノ株式会社
246A,株式会社アスア
2471,株式会社エスプール
2475,ＷＤＢホールディングス株式会社
2477,手間いらず株式会社
2479,株式会社ジェイテック
247A,Ａｉロボティクス株式会社
2480,システム・ロケーション株式会社
2481,株式会社タウンニュース社
2483,株式会社翻訳センター
2484,株式会社出前館
2485,株式会社ティア
2488,ＪＴＰ株式会社
2489,株式会社アドウェイズ
248A,株式会社キッズスター
2491,バリューコマース株式会社
2492,株式会社インフォマート
2493,イーサポートリンク株式会社
2497,ユナイテッド株式会社
2498,株式会社オリエンタルコンサルタンツホールディングス
2499,日本和装ホールディングス株式会社
2501,サッポロホールディングス株式会社
2502,アサヒグループホールディングス株式会社
2503,キリンホールディングス株式会社
250A,シマダヤ株式会社
2531,宝ホールディングス株式会社
2533,オエノンホールディングス株式会社
253A,株式会社ＥＴＳグループ
2540,養命酒製造株式会社
254A,ＡＩフュージョンキャピタルグループ株式会社
2551,マルサンアイ株式会社
255A,ジーエルテクノホールディングス株式会社
256A,飛島ホールディングス株式会社
2573,北海道コカ・コーラボトリング株式会社
2579,コカ・コーラボトラーズジャパンホールディングス株式会社
2585,株式会社ライフドリンク　カンパニー
2586,株式会社フルッタフルッタ
2587,サントリービバレッジ＆フード株式会社
2588,株式会社プレミアムウォーターホールディングス
2590,ダイドーグループホールディングス株式会社
2593,株式会社伊藤園
2594,キーコーヒー株式会社
2597,株式会社ユニカフェ
259A,株式会社ケイ・ウノ
