証券コード,企業名
2138,クルーズ株式会社
2139,株式会社中広
2146,ＵＴグループ株式会社
2148,アイティメディア株式会社
2152,幼児活動研究会株式会社
2153,Ｅ・Ｊホールディングス株式会社
2154,株式会社オープンアップグループ
2156,セーラー広告株式会社
2157,株式会社コシダカホールディングス
2158,株式会社ＦＲＯＮＴＥＯ
215A,株式会社タイミー
2160,株式会社ジーエヌアイグループ
2162,ｎｍｓホールディングス株式会社
2163,株式会社アルトナー
2164,株式会社地域新聞社
2168,株式会社パソナグループ
2169,ＣＤＳ株式会社
2170,株式会社リンクアンドモチベーション
2172,株式会社インサイト
2173,株式会社博展
2175,株式会社エス・エム・エス
2179,株式会社成学社
2180,株式会社サニーサイドアップグループ
2181,パーソルホールディングス株式会社
2183,株式会社リニカル
2185,株式会社シイエム・シイ
2186,ソーバル株式会社
218A,株式会社Ｌｉｂｅｒａｗａｒｅ
2193,クックパッド株式会社
2195,アミタホールディングス株式会社
2198,アイ・ケイ・ケイホールディングス株式会社
219A,Ｈｅａｒｔｓｅｅｄ株式会社
2201,森永製菓株式会社
2204,株式会社中村屋
2206,江崎グリコ株式会社
2207,株式会社ｍｅｉｔｏ
2208,株式会社ブルボン
2209,井村屋グループ株式会社
220A,株式会社Ｆａｂｅｒ　Ｃｏｍｐａｎｙ
2211,株式会社不二家
2212,山崎製パン株式会社
2215,第一屋製パン株式会社
2216,カンロ株式会社
2217,モロゾフ株式会社
2218,日糧製パン株式会社
2220,亀田製菓株式会社
2221,岩塚製菓株式会社
2222,寿スピリッツ株式会社
2224,株式会社コモ
2226,株式会社湖池屋
2229,カルビー株式会社
2264,森永乳業株式会社
2266,六甲バター株式会社
2267,株式会社ヤクルト本社
2268,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社
2269,明治ホールディングス株式会社
2270,雪印メグミルク株式会社
2281,プリマハム株式会社
2282,日本ハム株式会社
2286,林兼産業株式会社
2288,丸大食品株式会社
228A,株式会社オプロ
2291,福留ハム株式会社
2292,エスフーズ株式会社
2293,滝沢ハム株式会社
2294,株式会社柿安本店
2296,伊藤ハム米久ホールディングス株式会社
2300,株式会社きょくとう
2301,株式会社学情
2303,株式会社ドーン
2304,株式会社ＣＳＳホールディングス
2305,株式会社スタジオアリス
2307,株式会社クロスキャット
2311,株式会社エプコ
2315,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ
2317,株式会社システナ
